panel,model,condition_id,horizon,endpoint,cumulative
A,mlp_koopman,A_h00_p02,55,0.1238920555837626,0.04839637375893159
A,mlp_koopman,A_h00_p02,56,0.13192607912174112,0.05109968985232567
A,mlp_koopman,A_h00_p02,57,0.13925829968628287,0.05390356219712339
A,mlp_koopman,A_h00_p02,58,0.14726175098001498,0.05682776189890355
A,mlp_koopman,A_h00_p02,59,0.15439591563824961,0.059822191487435554
A,mlp_koopman,A_h00_p02,60,0.16239327366058975,0.06291721497298497
A,mlp_koopman,A_h00_p02,61,0.16924309688001962,0.066054843363572
A,mlp_koopman,A_h00_p02,62,0.1771528769446114,0.06927515544606028
A,mlp_koopman,A_h00_p02,63,0.1850582176624371,0.07257043299860308
A,mlp_koopman,A_h00_p02,64,0.1927109989467737,0.07592399541319285
A,mlp_koopman,A_h00_p02,65,0.20282967902446175,0.079427264819052
A,mlp_koopman,A_h00_p02,66,0.2161143350471286,0.08319111636669038
A,mlp_koopman,A_h00_p02,67,0.2284114478487569,0.08715589661614137
A,mlp_koopman,A_h00_p02,68,0.24031110336957764,0.0912890929559737
A,mlp_koopman,A_h00_p02,69,0.25361169708429393,0.09562990181834351
A,mlp_koopman,A_h00_p02,70,0.26833676258347966,0.10021512635732466
A,mlp_koopman,A_h00_p02,71,0.284259512194576,0.1050699618584266
A,mlp_koopman,A_h00_p02,72,0.300671644568467,0.11019061241760564
A,mlp_koopman,A_h00_p02,73,0.3175460022014807,0.11557227355030199
A,mlp_koopman,A_h00_p02,74,0.33784345211044625,0.12132130549315358
A,mlp_koopman,A_h00_p02,75,0.35859346866789615,0.127425002993758
A,mlp_koopman,A_h00_p02,76,0.3793183111787938,0.1338531813166396
A,mlp_koopman,A_h00_p02,77,0.3928782339451742,0.14031599505237122
A,mlp_koopman,A_h00_p02,78,0.4058924499603417,0.1467934718267935
A,mlp_koopman,A_h00_p02,79,0.4231130403003748,0.15343302945978565
A,mlp_koopman,A_h00_p02,80,0.4384258491612842,0.1601566066784392
A,mlp_koopman,A_h00_p02,81,0.45148379957244006,0.16688314512591707
A,mlp_koopman,A_h00_p02,82,0.46877525204293324,0.1737533628811065
A,mlp_koopman,A_h00_p02,83,0.49113227931434655,0.180921665369596
A,mlp_koopman,A_h00_p02,84,0.511682947171825,0.18830791986465928
A,mlp_koopman,A_h00_p02,85,0.5258068674846715,0.19569189971902434
A,mlp_koopman,A_h00_p02,86,0.5409921114276445,0.20310882155839968
A,mlp_koopman,A_h00_p02,87,0.5607372319719348,0.21069673350320106
A,mlp_koopman,A_h00_p02,88,0.5800083699467001,0.21842958571263393
A,mlp_koopman,A_h00_p02,89,0.5919931393471896,0.22608207869973806
A,mlp_koopman,A_h00_p02,90,0.6078262061425111,0.2337738498442913
A,mlp_koopman,A_h00_p02,91,0.6238498436363662,0.24150871451064196
A,mlp_koopman,A_h00_p02,92,0.6362758661877392,0.24918464351128805
A,mlp_koopman,A_h00_p02,93,0.6479095473132558,0.25678620757332116
A,mlp_koopman,A_h00_p02,94,0.6653149179537354,0.2644742976138007
A,mlp_koopman,A_h00_p02,95,0.6853736571163236,0.27231410917136517
A,mlp_koopman,A_h00_p02,96,0.7067225515579831,0.28033052106678236
A,mlp_koopman,A_h00_p02,97,0.7233121442301461,0.2883897662865004
A,mlp_koopman,A_h00_p02,98,0.7477464806351531,0.2966906682478376
A,mlp_koopman,A_h00_p02,99,0.7719520496239834,0.30521385984989746
A,mlp_koopman,A_h00_p02,100,0.7922448066003901,0.31384783506960984
A,mlp_koopman,A_h00_p03,1,0.00158108843273212,0.00158108843273212
A,mlp_koopman,A_h00_p03,2,0.009142263091111614,0.006560518846067779
A,mlp_koopman,A_h00_p03,3,0.010331402931235474,0.00801703813942036
A,mlp_koopman,A_h00_p03,4,0.01129251225457991,0.00894901579234554
A,mlp_koopman,A_h00_p03,5,0.01393194856832034,0.010143359655626164
A,mlp_koopman,A_h00_p03,6,0.012935290911946947,0.010659584704962477
A,mlp_koopman,A_h00_p03,7,0.009676022193099081,0.010524704827723644
A,mlp_koopman,A_h00_p03,8,0.008923232953289251,0.010338096828681967
A,mlp_koopman,A_h00_p03,9,0.01059776249963335,0.0103672697483328
A,mlp_koopman,A_h00_p03,10,0.01103486235532292,0.010435950965356204
A,mlp_koopman,A_h00_p03,11,0.010317328521084424,0.010425222881093252
A,mlp_koopman,A_h00_p03,12,0.00798640408184716,0.010244187959861753
A,mlp_koopman,A_h00_p03,13,0.007870008776040062,0.010081428781594348
A,mlp_koopman,A_h00_p03,14,0.009101541839813076,0.010014616979625808
A,mlp_koopman,A_h00_p03,15,0.008177969592543575,0.009902777159757091
A,mlp_koopman,A_h00_p03,16,0.012828573492477341,0.010110474858992137
A,mlp_koopman,A_h00_p03,17,0.012505906564589383,0.010266865404532118
A,mlp_koopman,A_h00_p03,18,0.012825667195092488,0.010425510027466561
